Epoch 1/150, Train Loss: 0.082923, Train MSE: 0.021438, Val Loss: 0.053618, Val MSE: 0.012832, PSNR: 18.9625, SSIM: 0.4466
Epoch 2/150, Train Loss: 0.049449, Train MSE: 0.012433, Val Loss: 0.045608, Val MSE: 0.011122, PSNR: 19.5704, SSIM: 0.5166
Epoch 3/150, Train Loss: 0.044160, Train MSE: 0.010900, Val Loss: 0.042633, Val MSE: 0.010755, PSNR: 19.6947, SSIM: 0.5581
Epoch 4/150, Train Loss: 0.041972, Train MSE: 0.010805, Val Loss: 0.041494, Val MSE: 0.011075, PSNR: 19.5583, SSIM: 0.5990
Epoch 5/150, Train Loss: 0.040645, Train MSE: 0.010741, Val Loss: 0.040014, Val MSE: 0.010499, PSNR: 19.7885, SSIM: 0.6331
Epoch 6/150, Train Loss: 0.040466, Train MSE: 0.010784, Val Loss: 0.039804, Val MSE: 0.011091, PSNR: 19.5505, SSIM: 0.6405
Epoch 7/150, Train Loss: 0.040595, Train MSE: 0.010810, Val Loss: 0.039664, Val MSE: 0.011479, PSNR: 19.4012, SSIM: 0.6598
Epoch 8/150, Train Loss: 0.039353, Train MSE: 0.010493, Val Loss: 0.038621, Val MSE: 0.009838, PSNR: 20.0711, SSIM: 0.6523
Epoch 9/150, Train Loss: 0.038053, Train MSE: 0.010091, Val Loss: 0.037568, Val MSE: 0.009421, PSNR: 20.2592, SSIM: 0.6619
Epoch 10/150, Train Loss: 0.037373, Train MSE: 0.009529, Val Loss: 0.036308, Val MSE: 0.009324, PSNR: 20.3040, SSIM: 0.6725
Epoch 11/150, Train Loss: 0.055926, Train MSE: 0.015135, Val Loss: 0.048643, Val MSE: 0.014911, PSNR: 18.2650, SSIM: 0.6141
Epoch 12/150, Train Loss: 0.048809, Train MSE: 0.014693, Val Loss: 0.048382, Val MSE: 0.014554, PSNR: 18.3700, SSIM: 0.6022
Epoch 13/150, Train Loss: 0.048064, Train MSE: 0.014524, Val Loss: 0.047735, Val MSE: 0.014594, PSNR: 18.3582, SSIM: 0.6197
Epoch 14/150, Train Loss: 0.047587, Train MSE: 0.014409, Val Loss: 0.047455, Val MSE: 0.014232, PSNR: 18.4672, SSIM: 0.6111
